ClubName,ClubType,Level,UpgradeCost,UpgradeCards,Power,Accuracy,TopSpin,BackSpin,Curl,BallGuide,Distance,DistanceTS,Score,ClubKey,TotalCards,TotalCost
Rock,Driver,8,6400,400,204,83,23,52,54,4.2,275.4,288.1,38.92,6,784,167200
Rock,Driver,9,9200,1000,206,83,37,70,54,4.2,278.1,298.7,44.24,6,1784,219200
Rock,Driver,10,13000,2000,211,90,37,98,54,4.2,284.8,305.9,52.14,6,3784,281200
Thor's Hammer,Driver,1,0,0,190,50,0,0,12,2,256.5,256.5,7.05,7,0,0
Thor's Hammer,Driver,2,100,4,190,70,9,9,12,2,256.5,261.1,10.85,7,4,100
Thor's Hammer,Driver,3,340,10,192,70,9,9,26,2.4,259.2,263.9,14.76,7,14,440
Thor's Hammer,Driver,4,800,20,198,76,9,26,26,2.4,267.3,272.1,23.17,7,34,1240
Thor's Hammer,Driver,5,1600,50,198,76,18,26,30,3.1,267.3,276.9,25.86,7,84,2840
Thor's Hammer,Driver,6,2700,100,202,83,18,52,30,3.1,272.7,282.5,32.5,7,184,5540
Thor's Hammer,Driver,7,4300,200,204,83,18,52,44,3.6,275.4,285.3,36.56,7,384,9840
Thor's Hammer,Driver,8,6400,400,204,83,23,52,54,4.2,275.4,288.1,38.92,7,784,16240
Thor's Hammer,Driver,9,9200,1000,206,83,37,70,54,4.2,278.1,298.7,44.24,7,1784,25440
Thor's Hammer,Driver,10,13000,2000,211,90,37,98,54,4.2,284.8,305.9,52.14,7,3784,38440
Apocalypse,Driver,1,0,0,190,50,0,0,12,2,256.5,256.5,7.05,8,0,0
Apocalypse,Driver,2,100,4,190,70,9,9,12,2,256.5,261.1,10.85,8,4,100
Apocalypse,Driver,3,340,10,192,70,9,9,26,2.4,259.2,263.9,14.76,8,14,440
Apocalypse,Driver,4,800,20,198,76,9,26,26,2.4,267.3,272.1,23.17,8,34,1240
Apocalypse,Driver,5,1600,50,198,76,18,26,30,3.1,267.3,276.9,25.86,8,84,2840
Apocalypse,Driver,6,2700,100,202,83,18,52,30,3.1,272.7,282.5,32.5,8,184,5540
Apocalypse,Driver,7,4300,200,204,83,18,52,44,3.6,275.4,285.3,36.56,8,384,9840
Apocalypse,Driver,8,6400,400,204,83,23,52,54,4.2,275.4,288.1,38.92,8,784,16240
Apocalypse,Driver,9,9200,1000,206,83,37,70,54,4.2,278.1,298.7,44.24,8,1784,25440
Apocalypse,Driver,10,13000,2000,211,90,37,98,54,4.2,284.8,305.9,52.14,8,3784,38440
Beginner Wood,Wood,1,0,0,160,10,0,0,5,2,216,216,6.62,9,0,0
Horizon,Wood,1,0,0,170,0,74,0,40,3.1,229.5,263.5,34.49,10,0,0
Horizon,Wood,2,100,4,171,0,74,11,40,3.7,230.8,265,40.92,10,4,100
Horizon,Wood,3,340,10,173,12,74,11,58,3.7,233.6,268.1,47.62,10,14,440
Horizon,Wood,4,800,20,173,12,94,11,64,4.1,233.6,277.5,52.57,10,34,1240
Horizon,Wood,5,1600,50,173,31,94,24,64,4.3,233.6,277.5,59.5,10,84,2840
Horizon,Wood,6,2700,100,178,31,100,31,64,4.3,240.3,288.4,67.4,10,184,5540
Horizon,Wood,7,4300,200,178,45,100,31,85,4.5,240.3,288.4,73.47,10,384,9840
Horizon,Wood,8,50000,400,179,65,100,50,90,4.7,241.6,290,83.25,10,784,59840
Viper,Wood,1,0,0,160,20,0,20,10,1.9,216,216,11.53,11,0,0
Viper,Wood,2,340,4,164,20,0,20,20,2,221.4,221.4,18.12,11,4,340
Viper,Wood,3,800,10,165,35,0,30,20,2,222.8,222.8,23.87,11,14,1140
Viper,Wood,4,1600,20,165,40,0,30,36,2.4,222.8,222.8,28.82,11,34,2740
Viper,Wood,5,2700,50,166,51,0,30,36,2.9,224.1,224.1,35.21,11,84,5440
Viper,Wood,6,4300,100,166,51,17,35,46,2.9,224.1,231.7,38.66,11,184,9740
Viper,Wood,7,6400,200,170,56,17,35,46,3.2,229.5,237.3,46.43,11,384,16140
Viper,Wood,8,9200,400,170,56,29,51,51,3.2,229.5,242.8,50.53,11,784,25340
Viper,Wood,9,13000,1000,170,67,29,51,67,3.4,229.5,242.8,55.5,11,1784,38340
Viper,Wood,10,17000,2000,170,72,29,62,67,3.9,229.5,242.8,61.09,11,3784,55340
Big Dawg,Wood,1,0,0,174,20,30,10,50,1.3,234.9,249,31,12,0,0
Big Dawg,Wood,2,1600,4,174,20,42,10,66,1.5,234.9,254.6,34.98,12,4,1600
Big Dawg,Wood,3,2700,10,177,25,42,26,66,1.5,239,259,42.13,12,14,4300
Big Dawg,Wood,4,4300,20,177,25,48,26,77,2.1,239,261.9,47.36,12,34,8600
Big Dawg,Wood,5,6400,50,177,25,67,38,77,2.3,239,271,52.23,12,84,15000
Big Dawg,Wood,6,9200,100,180,25,67,44,95,2.3,243,275.6,58.68,12,184,24200
Big Dawg,Wood,7,13000,200,180,44,80,44,100,2.3,243,281.9,64.28,12,384,37200
Big Dawg,Wood,8,17000,400,180,56,80,50,100,2.9,243,281.9,71.11,12,784,54200
Big Dawg,Wood,9,75000,1000,180,60,85,60,100,3.2,243,284.3,75.68,12,1784,129200
Hammerhead,Wood,1,0,0,169,65,45,30,65,2.7,228.2,248.7,47.99,13,0,0
Hammerhead,Wood,2,4300,4,170,65,45,41,65,3.2,229.5,250.2,53.83,13,4,4300
Hammerhead,Wood,3,6400,10,170,83,58,41,71,3.2,229.5,256.1,59.33,13,14,10700
Hammerhead,Wood,4,9200,20,170,95,58,60,71,3.4,229.5,256.1,65.75,13,34,19900
Hammerhead,Wood,5,13000,50,170,95,79,60,77,3.9,229.5,265.8,71.39,13,84,32900
Hammerhead,Wood,6,17000,100,175,95,79,73,77,4.1,236.2,273.6,80.77,13,184,49900
Hammerhead,Wood,7,22000,200,175,100,79,80,98,4.1,236.2,273.6,84.92,13,384,71900
Hammerhead,Wood,8,250000,400,176,100,85,100,100,4.3,237.6,278,91.15,13,784,321900
Guardian,Wood,1,0,0,166,50,0,77,20,1.9,224.1,224.1,34.58,14,0,0
Guardian,Wood,2,9200,4,166,50,12,82,20,2.4,224.1,229.5,39.47,14,4,9200
Guardian,Wood,3,13000,10,166,66,12,82,31,2.6,224.1,229.5,44.95,14,14,22200
Guardian,Wood,4,17000,20,171,66,18,82,31,3,230.8,239.2,54.15,14,34,39200
Guardian,Wood,5,22000,50,171,78,24,82,48,3,230.8,241.9,58.85,14,84,61200
Guardian,Wood,6,28000,100,174,78,24,100,48,3.2,234.9,246.2,66.48,14,184,89200
Guardian,Wood,7,35000,200,175,90,24,100,48,3.8,236.2,247.6,73.66,14,384,124200
Guardian,Wood,8,43000,400,179,90,31,100,67,3.8,241.6,256.6,81.26,14,784,167200
Guardian,Wood,9,250000,1000,179,95,35,100,75,3.9,241.6,258.6,84.04,14,1784,417200
Sniper,Wood,1,0,0,160,100,0,0,23,3.7,216,216,36.42,15,0,0
Sniper,Wood,2,22000,4,160,100,17,0,33,3.8,216,223.3,39.71,15,4,22000
Sniper,Wood,3,28000,10,160,100,22,10,48,3.8,216,225.5,43.21,15,14,50000
Sniper,Wood,4,35000,20,160,100,34,26,48,4,216,230.7,47.98,15,34,85000
Sniper,Wood,5,43000,50,164,100,34,31,59,4,221.4,236.5,54.83,15,84,128000
Sniper,Wood,6,52000,100,164,100,39,41,74,4,221.4,238.7,58.33,15,184,180000
Sniper,Wood,7,62000,200,166,100,39,46,74,4.5,224.1,241.6,64.52,15,384,242000
Sniper,Wood,8,73000,400,166,100,45,62,85,4.5,224.1,244.3,68.62,15,784,315000
Sniper,Wood,9,86000,1000,170,100,51,73,85,4.5,229.5,252.9,75.87,15,1784,401000
Sniper,Wood,10,100000,2000,172,100,68,73,95,4.5,232.2,263.8,81.07,15,3784,501000
Cataclysm,Wood,1,0,0,175,30,50,50,73,2.4,236.2,259.9,51.02,16,0,0
Cataclysm,Wood,2,55000,4,176,47,50,50,84,2.4,237.6,261.4,56.77,16,4,55000
Cataclysm,Wood,3,70000,10,180,47,50,56,84,2.8,243,267.3,65.02,16,14,125000
Cataclysm,Wood,4,87500,20,180,47,63,56,100,3,243,273.6,69.1,16,34,212500
Cataclysm,Wood,5,107500,50,180,60,71,56,100,3.6,243,277.5,76.03,16,84,320000
Cataclysm,Wood,6,130000,100,180,60,85,76,100,3.8,243,284.3,81.61,16,184,450000
Cataclysm,Wood,7,155000,200,180,80,93,76,100,4.3,243,288.2,89.35,16,384,605000
Cataclysm,Wood,8,1000000,400,180,90,100,85,100,4.3,243,291.6,93.4,16,784,1605000
Beginner Long Iron,LongIron,1,0,0,115,10,0,0,5,2,0,0,11.95,17,0,0
Grim Reaper,LongIron,1,0,0,125,30,0,40,60,2.4,0,0,39.05,18,0,0
Grim Reaper,LongIron,2,100,4,125,30,12,40,66,3,0,0,46.62,18,4,100
Grim Reaper,LongIron,3,340,10,125,42,12,58,66,3.2,0,0,55.04,18,14,440
Grim Reaper,LongIron,4,800,20,125,60,12,70,72,3.2,0,0,61.34,18,34,1240
Grim Reaper,LongIron,5,1600,50,125,60,12,83,91,3.4,0,0,67.32,18,84,2840
Grim Reaper,LongIron,6,2700,100,126,60,12,100,91,3.8,0,0,76.32,18,184,5540
Grim Reaper,LongIron,7,4300,200,126,81,28,100,98,3.8,0,0,80.87,18,384,9840
Grim Reaper,LongIron,8,50000,400,128,90,40,100,100,4,0,0,86.69,18,784,59840
Backbone,LongIron,1,0,0,118,30,10,15,15,1.5,0,0,15.64,19,0,0
Backbone,LongIron,2,340,4,118,40,10,30,15,1.7,0,0,23.06,19,4,340
Backbone,LongIron,3,800,10,119,40,10,30,30,2,0,0,28.2,19,14,1140
Backbone,LongIron,4,1600,20,119,50,10,35,30,2.5,0,0,37.26,19,34,2740
Backbone,LongIron,5,2700,50,119,66,21,35,35,2.5,0,0,40.71,19,84,5440
Backbone,LongIron,6,4300,100,120,66,21,51,35,2.9,0,0,49.51,19,184,9740
Backbone,LongIron,7,6400,200,120,76,39,51,41,2.9,0,0,51.81,19,384,16140
Backbone,LongIron,8,9200,400,123,76,39,56,41,3.4,0,0,61.12,19,784,25340
Backbone,LongIron,9,13000,1000,127,82,39,67,41,3.4,0,0,67.52,19,1784,38340
Backbone,LongIron,10,17000,2000,127,92,39,67,57,3.6,0,0,72.74,19,3784,55340
Goliath,LongIron,1,0,0,130,0,66,30,37,2.3,0,0,32.43,20,0,0
Goliath,LongIron,2,1600,4,132,0,84,30,42,2.3,0,0,34.18,20,4,1600
Goliath,LongIron,3,2700,10,132,16,90,30,42,2.7,0,0,42.23,20,14,4300
Goliath,LongIron,4,4300,20,132,28,90,30,59,2.9,0,0,47.91,20,34,8600
Goliath,LongIron,5,6400,50,135,28,90,47,65,2.9,0,0,53.86,20,84,15000
Goliath,LongIron,6,9200,100,135,34,100,47,65,3.5,0,0,62.33,20,184,24200
Goliath,LongIron,7,13000,200,135,52,100,60,71,3.5,0,0,68.83,20,384,37200
Goliath,LongIron,8,17000,400,135,52,100,66,90,3.9,0,0,75.83,20,784,54200
Goliath,LongIron,9,75000,1000,135,55,100,70,100,3.9,0,0,77.73,20,1784,129200
Saturn,LongIron,1,0,0,115,20,20,30,50,1.7,0,0,18.56,21,0,0
Saturn,LongIron,2,4300,4,115,20,20,35,60,2.2,0,0,26.12,21,4,4300
Saturn,LongIron,3,6400,10,115,35,26,35,60,2.5,0,0,32.76,21,14,10700
Saturn,LongIron,4,9200,20,119,35,26,45,60,2.7,0,0,40.18,21,34,19900
Saturn,LongIron,5,13000,50,119,35,37,61,65,2.7,0,0,43.63,21,84,32900
Saturn,LongIron,6,17000,100,119,51,37,71,65,2.9,0,0,51.26,21,184,49900
Saturn,LongIron,7,22000,200,120,51,48,71,65,3.4,0,0,58.07,21,384,71900
Saturn,LongIron,8,28000,400,120,51,66,82,65,3.4,0,0,60.27,21,784,99900
Saturn,LongIron,9,35000,1000,124,56,66,82,65,3.7,0,0,67.9,21,1784,134900
Saturn,LongIron,10,43000,2000,124,56,66,92,81,3.9,0,0,73.13,21,3784,177900
B52,LongIron,1,0,0,127,62,0,25,20,3.4,0,0,54.07,22,0,0
B52,LongIron,2,9200,4,127,73,0,25,37,3.6,0,0,59.54,22,4,9200
B52,LongIron,3,13000,10,132,79,13,25,37,3.6,0,0,64.49,22,14,22200
B52,LongIron,4,17000,20,135,79,33,25,37,3.8,0,0,69.17,22,34,39200
B52,LongIron,5,22000,50,135,98,33,38,43,3.8,0,0,75.87,22,84,61200
B52,LongIron,6,28000,100,135,98,55,45,56,3.8,0,0,77.92,22,184,89200
B52,LongIron,7,35000,200,135,100,55,58,56,4.5,0,0,89.4,22,384,124200
B52,LongIron,8,500000,400,135,100,65,65,65,4.5,0,0,91.25,22,784,624200
Grizzly,LongIron,1,0,0,122,73,0,20,45,3,0,0,47.92,23,0,0
Grizzly,LongIron,2,22000,4,122,73,18,20,60,3,0,0,48.67,23,4,22000
Grizzly,LongIron,3,28000,10,122,79,18,36,60,3.4,0,0,57.92,23,14,50000
Grizzly,LongIron,4,35000,20,122,79,30,40,77,3.4,0,0,59.57,23,34,85000
Grizzly,LongIron,5,43000,50,122,96,30,40,82,3.8,0,0,68.07,23,84,128000
Grizzly,LongIron,6,52000,100,126,96,38,45,82,3.8,0,0,72.07,23,184,180000
Grizzly,LongIron,7,62000,200,126,100,38,45,90,4.4,0,0,80.54,23,384,242000
Grizzly,LongIron,8,73000,400,126,100,46,64,100,4.4,0,0,84.84,23,784,315000
Grizzly,LongIron,9,375000,1000,129,100,50,70,100,4.4,0,0,88.29,23,1784,690000
Tsunami,LongIron,1,0,0,127,23,100,70,64,1.2,0,0,30.8,24,0,0
Tsunami,LongIron,2,55000,4,129,23,100,87,64,1.4,0,0,38.12,24,4,55000
Tsunami,LongIron,3,70000,10,133,29,100,87,64,2,0,0,49.6,24,14,125000
Tsunami,LongIron,4,87500,20,133,41,100,87,82,2.2,0,0,55.32,24,34,212500
Tsunami,LongIron,5,107500,50,134,60,100,100,82,2.2,0,0,62.47,24,84,320000
Tsunami,LongIron,6,130000,100,134,60,100,100,100,2.7,0,0,69.43,24,184,450000
Tsunami,LongIron,7,155000,200,135,81,100,100,100,3.1,0,0,79.23,24,384,605000
Tsunami,LongIron,8,1000000,400,135,92,100,100,100,3.5,0,0,86.28,24,784,1605000
Beginner Short Iron,ShortIron,1,0,0,75,10,0,0,5,2,0,0,12.29,25,0,0
Apache,ShortIron,1,0,0,84,0,28,0,25,1.5,0,0,12.66,26,0,0
Apache,ShortIron,2,100,4,84,4,43,0,25,2,0,0,21.39,26,4,100
Apache,ShortIron,3,340,10,85,17,43,10,25,2,0,0,26.15,26,14,440
Apache,ShortIron,4,800,20,89,17,43,10,41,2.1,0,0,30.1,26,34,1240
Apache,ShortIron,5,1600,50,89,27,51,25,41,2.1,0,0,35.15,26,84,2840
Apache,ShortIron,6,2700,100,90,27,51,25,57,2.7,0,0,43.54,26,184,5540
Apache,ShortIron,7,4300,200,90,32,77,36,57,2.7,0,0,48.79,26,384,9840
Apache,ShortIron,8,6400,400,90,32,100,36,84,2.9,0,0,53.66,26,784,16240
Apache,ShortIron,9,25000,1000,90,55,100,55,90,3.5,0,0,68.82,26,1784,41240
Kingfisher,ShortIron,1,0,0,79,65,15,50,17,2.3,0,0,38.81,27,0,0
Kingfisher,ShortIron,2,340,4,79,69,15,50,40,2.7,0,0,44.75,27,4,340
Kingfisher,ShortIron,3,800,10,79,83,15,50,57,2.8,0,0,48.84,27,14,1140
Kingfisher,ShortIron,4,1600,20,79,88,15,61,57,3.4,0,0,59.2,27,34,2740
Kingfisher,ShortIron,5,2700,50,79,88,42,61,75,3.6,0,0,64.47,27,84,5440
Kingfisher,ShortIron,6,4300,100,79,88,42,67,100,4,0,0,70.52,27,184,9740
Kingfisher,ShortIron,7,6400,200,83,94,42,67,100,4.4,0,0,79.53,27,384,16140
Kingfisher,ShortIron,8,100000,400,84,100,42,90,100,4.7,0,0,88.7,27,784,116140
Runner,ShortIron,1,0,0,75,20,90,0,10,1.2,0,0,13,28,0,0
Runner,ShortIron,2,1600,4,75,24,90,0,31,1.5,0,0,17.66,28,4,1600
Runner,ShortIron,3,2700,10,75,24,97,9,31,1.9,0,0,24.85,28,14,4300
Runner,ShortIron,4,4300,20,78,24,97,9,38,2.2,0,0,30.71,28,34,8600
Runner,ShortIron,5,6400,50,80,36,97,9,38,2.4,0,0,37.01,28,84,15000
Runner,ShortIron,6,9200,100,80,45,97,23,46,2.4,0,0,40.91,28,184,24200
Runner,ShortIron,7,13000,200,81,53,97,23,46,2.9,0,0,49.61,28,384,37200
Runner,ShortIron,8,17000,400,82,53,97,23,68,3.2,0,0,54.13,28,784,54200
Runner,ShortIron,9,22000,1000,82,66,97,28,83,3.2,0,0,57.48,28,1784,76200
Runner,ShortIron,10,28000,2000,82,66,97,37,90,3.7,0,0,65.26,28,3784,104200
Thorn,ShortIron,1,0,0,81,30,0,75,20,2.3,0,0,35.39,29,0,0
Thorn,ShortIron,2,4300,4,81,43,0,80,20,2.7,0,0,43.89,29,4,4300
Thorn,ShortIron,3,6400,10,83,43,0,85,20,3.1,0,0,51.11,29,14,10700
Thorn,ShortIron,4,9200,20,86,43,8,85,36,3.1,0,0,53.91,29,34,19900
Thorn,ShortIron,5,13000,50,86,52,8,100,36,3.3,0,0,60.53,29,84,32900
Thorn,ShortIron,6,17000,100,89,52,33,100,44,3.3,0,0,65.03,29,184,49900
Thorn,ShortIron,7,22000,200,89,57,33,100,70,3.7,0,0,71.18,29,384,71900
Thorn,ShortIron,8,28000,400,90,57,50,100,70,4.2,0,0,79.97,29,784,99900
Thorn,ShortIron,9,125000,1000,90,57,60,100,75,4.4,0,0,83.54,29,1784,224900
Hornet,ShortIron,1,0,0,79,78,20,20,30,2.2,0,0,36.12,30,0,0
Hornet,ShortIron,2,9200,4,82,78,35,20,30,2.3,0,0,40.91,30,4,9200
Hornet,ShortIron,3,13000,10,84,91,35,20,30,2.7,0,0,49.99,30,14,22200
Hornet,ShortIron,4,17000,20,84,91,35,30,38,3.2,0,0,57.91,30,34,39200
Hornet,ShortIron,5,22000,50,86,91,43,30,62,3.2,0,0,60.05,30,84,61200
Hornet,ShortIron,6,28000,100,86,96,68,30,79,3.2,0,0,63.55,30,184,89200
Hornet,ShortIron,7,35000,200,88,96,68,36,79,3.7,0,0,72.21,30,384,124200
Hornet,ShortIron,8,43000,400,88,96,68,52,88,4.1,0,0,79.75,30,784,167200
Hornet,ShortIron,9,250000,1000,88,100,80,52,95,4.1,0,0,81.75,30,1784,417200
Claw,ShortIron,1,0,0,76,25,0,55,80,1.7,0,0,20.35,31,0,0
Claw,ShortIron,2,22000,4,76,29,0,55,94,2.1,0,0,26.29,31,4,22000
Claw,ShortIron,3,28000,10,77,41,0,64,94,2.1,0,0,30.7,31,14,50000
Claw,ShortIron,4,35000,20,77,41,14,78,94,2.3,0,0,36.78,31,34,85000
Claw,ShortIron,5,43000,50,80,50,14,78,100,2.3,0,0,40.58,31,84,128000
Claw,ShortIron,6,52000,100,82,50,14,83,100,2.7,0,0,47.8,31,184,180000
Claw,ShortIron,7,62000,200,82,54,36,83,100,3.1,0,0,55.95,31,384,242000
Claw,ShortIron,8,73000,400,86,54,51,87,100,3.1,0,0,60.71,31,784,315000
Claw,ShortIron,9,86000,1000,86,66,51,97,100,3.2,0,0,65.9,31,1784,401000
Claw,ShortIron,10,100000,2000,87,75,73,97,100,3.2,0,0,70.56,31,3784,501000
Falcon,ShortIron,1,0,0,81,50,45,45,45,3,0,0,48.39,32,0,0
Falcon,ShortIron,2,55000,4,82,50,45,60,45,3.3,0,0,55.17,32,4,55000
Falcon,ShortIron,3,70000,10,82,59,53,60,70,3.3,0,0,57.77,32,14,125000
Falcon,ShortIron,4,87500,20,85,64,53,60,70,3.9,0,0,68.48,32,34,212500
Falcon,ShortIron,5,107500,50,85,64,80,72,79,3.9,0,0,72.98,32,84,320000
Falcon,ShortIron,6,130000,100,88,80,80,78,79,3.9,0,0,79.08,32,184,450000
Falcon,ShortIron,7,155000,200,88,80,90,78,98,4.5,0,0,87.8,32,384,605000
Falcon,ShortIron,8,1000000,400,90,95,100,80,100,4.5,0,0,93.43,32,784,1605000
Beginner Pitcher,Wedge,1,0,0,35,10,0,0,5,2,0,0,15.16,33,0,0
Dart,Wedge,1,0,0,35,10,0,0,10,1.7,0,0,11.9,34,0,0
Dart,Wedge,2,100,4,35,22,0,0,10,1.9,0,0,19.23,34,4,100
Dart,Wedge,3,340,10,37,22,0,9,10,2.1,0,0,22.4,34,14,440
Dart,Wedge,4,800,20,37,30,0,9,19,2.5,0,0,30.19,34,34,1240
Dart,Wedge,5,1600,50,39,30,7,23,19,2.5,0,0,32.17,34,84,2840
Dart,Wedge,6,2700,100,39,43,7,23,28,2.8,0,0,41.01,34,184,5540
Dart,Wedge,7,4300,200,39,43,15,32,54,2.8,0,0,42.13,34,384,9840
Dart,Wedge,8,6400,400,41,47,15,32,54,3,0,0,47.02,34,784,16240
Dart,Wedge,9,9200,1000,41,60,22,32,72,3,0,0,53.59,34,1784,25440
Dart,Wedge,10,13000,2000,41,64,22,47,72,3.3,0,0,58.57,34,3784,38440
Firefly,Wedge,1,0,0,35,39,72,15,20,3.2,0,0,50.74,35,0,0
Firefly,Wedge,2,340,4,35,39,72,25,29,3.6,0,0,55.08,35,4,340
Firefly,Wedge,3,800,10,37,48,72,25,29,3.8,0,0,62.12,35,14,1140
Firefly,Wedge,4,1600,20,37,48,81,25,61,4.1,0,0,66.64,35,34,2740
Firefly,Wedge,5,2700,50,37,53,100,37,61,4.1,0,0,71.45,35,84,5440
Firefly,Wedge,6,4300,100,38,53,100,55,83,4.1,0,0,71.95,35,184,9740
Firefly,Wedge,7,6400,200,38,70,100,61,83,4.5,0,0,83.6,35,384,16140
Firefly,Wedge,8,100000,400,39,90,100,75,85,4.5,0,0,92.7,35,784,116140
Boomerang,Wedge,1,0,0,39,45,30,79,64,2.2,0,0,38.58,36,0,0
Boomerang,Wedge,2,1600,4,41,45,30,79,83,2.4,0,0,41.75,36,4,1600
Boomerang,Wedge,3,2700,10,41,54,30,95,83,2.5,0,0,46.71,36,14,4300
Boomerang,Wedge,4,4300,20,42,54,47,95,83,3,0,0,55.01,36,34,8600
Boomerang,Wedge,5,6400,50,42,70,47,100,100,3,0,0,61.89,36,84,15000
Boomerang,Wedge,6,9200,100,44,70,57,100,100,3.6,0,0,70.81,36,184,24200
Boomerang,Wedge,7,13000,200,45,86,57,100,100,3.9,0,0,81.45,36,384,37200
Boomerang,Wedge,8,150000,400,45,98,60,100,100,4.2,0,0,90.28,36,784,187200
Down-in-One,Wedge,1,0,0,41,80,0,0,45,1,0,0,37.4,37,0,0
Down-in-One,Wedge,2,4300,4,43,80,15,0,54,1,0,0,40.5,37,4,4300
Down-in-One,Wedge,3,6400,10,44,89,15,15,54,1,0,0,44.87,37,14,10700
Down-in-One,Wedge,4,9200,20,44,89,39,15,64,1.3,0,0,51.49,37,34,19900
Down-in-One,Wedge,5,13000,50,44,100,55,20,64,1.3,0,0,58.46,37,84,32900
Down-in-One,Wedge,6,17000,100,44,100,63,36,84,1.3,0,0,59.58,37,184,49900
